Location,Tenant,_Area_raw,Area_Sft,_Price_raw,Price_INR,_Rent_raw,Rent_INR,Lease_Years,Advance_Months,UDS_SqYards,Increment_%,Increment_Every_Years,Rent_Fix_Flag,Price_Fix_Flag,Area_Fix_Flag,Price_per_Sft,Rent_per_Sft,Gross_Yield_%
ASHOKNAGAR,Largest private sector dairy company in India.,"1865 Sft, Ground floor",1865.0,1.75 Crore.,17500000.0,80 Thousands.,80000.0,1.0,4.0,60.0,,,ok,ok,ok,9383.378016085791,42.89544235924933,5.485714285714286
ATTAPUR,BRANDED MULTIPLE TENANTS,"400 S.Yards, 13500Sft, C+G+ 4 Floors",13500.0,16 Crore.,160000000.0,8.25 Lakh (present 7.25L+1L Expected rent),825000.0,7.0,6.0,400.0,15.0,3.0,ok,ok,ok,11851.851851851852,61.111111111111114,6.1875
BACHUPALLY,HOSTEL.,"522 S. Yards 25000 Sft, Celler, Ground +4floors.",25000.0,10 Crore.,100000000.0,4.50 Lakh.,450000.0,9.0,6.0,522.0,15.0,3.0,ok,ok,ok,4000.0,18.0,5.4
BANJARAHILL RD NO-2,REPUTED COLLEGE ADMIN OFFICE. | Tenant: NATIONALISED BANK & VACANT,"4300 Sft, 3rd Floor. | Area: 5400 Sft, Ground +2Floors.",4300.0,4.30 Crore. | Price: 8.25 Crore.,43000000.0,2.13 Lakh. | Rent: 4.60 Lakh. Bank 3.30L+1.30 L expected 2600 Sft Vacant,213000.0,8.0,6.0,200.0,6.0,3.0,ok,ok,ok,10000.0,49.53488372093023,5.944186046511628
BEGUMPET,,,,,,,,,,,,,ok,ok,ok,,,
BEGUMPET COMMERCIAL OFFICE SPACE  FOR SALE,,"3364 Sft, 8th Floor.",3364.0,3.37 Crore.,33700000.0,2.07 Lakh.,206999.99999999997,3.0,3.0,,5.0,,ok,ok,ok,10017.83590963139,61.53388822829964,7.370919881305636
CHANDANAGAR,BRANDED BANK.,"1785 Sft, Gr. Flr.",1785.0,5.85 lCrore.,58500000.0,2.51 Lakh.,250999.99999999997,6.0,6.0,43.0,15.0,3.0,ok,ok,ok,32773.10924369748,140.61624649859942,5.148717948717948
DAMMAIGUDA (ECIL),BANK & MULTIPLE TENANTS.,"700 S.Yards, 21000 Sft, C+Ground +3 floor+ Penthouse.",21000.0,10.75 Crore,107500000.0,5 Lakhs (present rent 2.40 Lakhs+ Expected 2.60 Lakhs),500000.0,8.0,6.0,700.0,15.0,3.0,ok,ok,ok,5119.047619047619,23.80952380952381,5.5813953488372094
DILSUKHNAGAR,,"1925 Sft, Ground Floor. | UDS: 116 S.yards",1925.0,3.80 Crore.,38000000.0,1.84 Lakh.,184000.0,5.0,4.0,40.0,15.0,3.0,ok,ok,ok,19740.25974025974,95.58441558441558,5.810526315789474
GACHIBOWLI,,"937 S.yards, 28295 Sft, C, G+5 Floors. | Area:  4580 Sft.1st Floor,",28295.0,30 Crore. | Price: 5.95 Crore.,300000000.0,14 Lakh | Rent:  3 Lakh.,1400000.0,9.0,6.0,937.0,5.0,,ok,ok,ok,10602.579961123873,49.47870648524474,5.6000000000000005
